"STATISTIC","Statistic Label","TLIST(M1)","Month","C02431V02938","Meteorological Weather Station","UNIT","VALUE"
"MTM03C1","Total Sunshine Hours","195801","1958M01","001","Belmullet","Number","43.7"
"MTM03C1","Total Sunshine Hours","195801","1958M01","002","Birr","Number","64.6"
"MTM03C1","Total Sunshine Hours","195801","1958M01","003","Valentia Observatory","Number","46.8"
"MTM03C1","Total Sunshine Hours","195801","1958M01","004","Casement","Number",""
"MTM03C1","Total Sunshine Hours","195801","1958M01","005","Claremorris","Number","51.6"
"MTM03C1","Total Sunshine Hours","195801","1958M01","006","Clones","Number","53.8"
"MTM03C1","Total Sunshine Hours","195801","1958M01","007","Cork airport","Number",""
"MTM03C1","Total Sunshine Hours","195801","1958M01","008","Dublin airport","Number","79.5"
"MTM03C1","Total Sunshine Hours","195801","1958M01","009","Galway","Number",""
"MTM03C1","Total Sunshine Hours","195801","1958M01","010","Kilkenny","Number","73.3"
"MTM03C1","Total Sunshine Hours","195801","1958M01","011","Malin head","Number","42.6"
"MTM03C1","Total Sunshine Hours","195801","1958M01","012","Mullingar","Number","68.8"
"MTM03C1","Total Sunshine Hours","195801","1958M01","013","Roches Point","Number","78.8"
"MTM03C1","Total Sunshine Hours","195801","1958M01","014","Rosslare","Number","86.9"
"MTM03C1","Total Sunshine Hours","195801","1958M01","015","Shannon airport","Number","64.1"
"MTM03C1","Total Sunshine Hours","195802","1958M02","001","Belmullet","Number","45.7"
"MTM03C1","Total Sunshine Hours","195802","1958M02","002","Birr","Number","62.6"
"MTM03C1","Total Sunshine Hours","195802","1958M02","003","Valentia Observatory","Number","51"
"MTM03C1","Total Sunshine Hours","195802","1958M02","004","Casement","Number",""
"MTM03C1","Total Sunshine Hours","195802","1958M02","005","Claremorris","Number","53.6"
"MTM03C1","Total Sunshine Hours","195802","1958M02","006","Clones","Number","57.1"
"MTM03C1","Total Sunshine Hours","195802","1958M02","007","Cork airport","Number",""
"MTM03C1","Total Sunshine Hours","195802","1958M02","008","Dublin airport","Number","62.7"
"MTM03C1","Total Sunshine Hours","195802","1958M02","009","Galway","Number",""
"MTM03C1","Total Sunshine Hours","195802","1958M02","010","Kilkenny","Number","55.3"
"MTM03C1","Total Sunshine Hours","195802","1958M02","011","Malin head","Number","49.7"
"MTM03C1","Total Sunshine Hours","195802","1958M02","012","Mullingar","Number","61.9"
"MTM03C1","Total Sunshine Hours","195802","1958M02","013","Roches Point","Number","57.7"
"MTM03C1","Total Sunshine Hours","195802","1958M02","014","Rosslare","Number","69.3"
"MTM03C1","Total Sunshine Hours","195802","1958M02","015","Shannon airport","Number","58.8"
"MTM03C1","Total Sunshine Hours","195803","1958M03","001","Belmullet","Number","64.5"
"MTM03C1","Total Sunshine Hours","195803","1958M03","002","Birr","Number","82.9"
"MTM03C1","Total Sunshine Hours","195803","1958M03","003","Valentia Observatory","Number","69.5"
"MTM03C1","Total Sunshine Hours","195803","1958M03","004","Casement","Number",""
"MTM03C1","Total Sunshine Hours","195803","1958M03","005","Claremorris","Number","71.1"
"MTM03C1","Total Sunshine Hours","195803","1958M03","006","Clones","Number","84.2"
