STATISTIC,Statistic Label,Month,month_date,Meteorological Weather Station,UNIT,VALUE,latitude,longitude
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Belmullet,Number,43.70,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Birr,Number,64.60,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Valentia Observatory,Number,46.80,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Claremorris,Number,51.60,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Clones,Number,53.80,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Dublin airport,Number,79.50,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Kilkenny,Number,73.30,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Malin head,Number,42.60,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Mullingar,Number,68.80,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Roches Point,Number,78.80,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Rosslare,Number,86.90,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M01,1958-01-01,Shannon airport,Number,64.10,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Belmullet,Number,45.70,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Birr,Number,62.60,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Valentia Observatory,Number,51.00,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Claremorris,Number,53.60,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Clones,Number,57.10,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Dublin airport,Number,62.70,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Kilkenny,Number,55.30,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Malin head,Number,49.70,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Mullingar,Number,61.90,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Roches Point,Number,57.70,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Rosslare,Number,69.30,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M02,1958-02-01,Shannon airport,Number,58.80,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Belmullet,Number,64.50,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Birr,Number,82.90,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Valentia Observatory,Number,69.50,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Claremorris,Number,71.10,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Clones,Number,84.20,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Dublin airport,Number,105.10,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Kilkenny,Number,90.40,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Malin head,Number,97.60,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Mullingar,Number,96.70,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Roches Point,Number,89.60,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Rosslare,Number,115.40,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M03,1958-03-01,Shannon airport,Number,82.10,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Belmullet,Number,135.20,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Birr,Number,116.50,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Valentia Observatory,Number,134.80,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Claremorris,Number,130.20,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Clones,Number,119.50,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Dublin airport,Number,140.80,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Kilkenny,Number,130.10,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Malin head,Number,135.30,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Mullingar,Number,128.00,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Roches Point,Number,127.60,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Rosslare,Number,179.00,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M04,1958-04-01,Shannon airport,Number,137.70,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Belmullet,Number,196.30,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Birr,Number,160.00,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Valentia Observatory,Number,168.40,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Claremorris,Number,153.20,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Clones,Number,162.90,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Dublin airport,Number,176.90,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Kilkenny,Number,171.20,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Malin head,Number,226.40,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Mullingar,Number,160.20,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Roches Point,Number,194.30,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Rosslare,Number,209.70,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M05,1958-05-01,Shannon airport,Number,178.00,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Belmullet,Number,139.90,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Birr,Number,116.50,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Valentia Observatory,Number,139.10,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Claremorris,Number,94.70,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Clones,Number,99.40,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Dublin airport,Number,139.60,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Kilkenny,Number,131.30,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Malin head,Number,142.60,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Mullingar,Number,127.80,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Roches Point,Number,148.60,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Rosslare,Number,179.70,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M06,1958-06-01,Shannon airport,Number,132.90,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Belmullet,Number,187.90,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Birr,Number,133.50,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Valentia Observatory,Number,118.60,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Claremorris,Number,132.90,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Clones,Number,135.40,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Dublin airport,Number,147.30,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Kilkenny,Number,135.60,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Malin head,Number,185.00,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Mullingar,Number,130.50,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Roches Point,Number,158.90,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Rosslare,Number,165.50,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M07,1958-07-01,Shannon airport,Number,136.70,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Belmullet,Number,152.40,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Birr,Number,130.20,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Valentia Observatory,Number,131.30,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Claremorris,Number,120.00,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Clones,Number,102.80,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Dublin airport,Number,128.90,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Kilkenny,Number,137.80,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Malin head,Number,135.40,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Mullingar,Number,125.80,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Roches Point,Number,157.10,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Rosslare,Number,153.80,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M08,1958-08-01,Shannon airport,Number,136.10,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Belmullet,Number,117.80,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Birr,Number,108.00,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Valentia Observatory,Number,103.30,51.936,-10.244
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Claremorris,Number,81.90,53.719,-9.006
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Clones,Number,95.50,54.195,-7.234
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Dublin airport,Number,111.30,53.421,-6.270
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Kilkenny,Number,101.80,52.651,-7.256
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Malin head,Number,106.10,55.385,-7.378
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Mullingar,Number,100.20,53.525,-7.340
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Roches Point,Number,102.80,51.785,-8.252
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Rosslare,Number,131.60,52.261,-6.331
MTM03C1,Total Sunshine Hours,1958M09,1958-09-01,Shannon airport,Number,111.90,52.684,-8.925
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Belmullet,Number,80.50,54.226,-9.992
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Birr,Number,78.30,53.095,-7.902
MTM03C1,Total Sunshine Hours,1958M10,1958-10-01,Valentia Observatory,Number,56.00,51.936,-10.244
